# x/R,  y/R,  z/R,  Fx (mN),  Fy (mN),  Fz (mN)
0.003229  0.004575  0.060231  0.000395  -0.001532  -0.009073
0.003028  0.003319  0.045790  -0.000400  -0.001083  -0.009453
0.002239  0.002394  0.030604  -0.000904  -0.000923  -0.009631
0.001159  0.001394  0.015123  -0.001153  -0.001154  -0.009579
0.000000  0.000000  0.000000  -0.001199  -0.001611  -0.009395
-0.001034  -0.001850  -0.014424  -0.000959  -0.001989  -0.009245
-0.001627  -0.003898  -0.028323  -0.000428  -0.002099  -0.009232
-0.001618  -0.005912  -0.042391  0.000246  -0.001939  -0.009345
-0.000990  -0.007685  -0.056976  0.000675  -0.001616  -0.009482
-0.000305  -0.009130  -0.071885  0.000538  -0.001430  -0.009550
-0.000117  -0.010548  -0.086838  -0.000033  -0.001738  -0.009529
-0.000635  -0.012488  -0.101591  -0.000666  -0.002592  -0.009463
-0.001645  -0.015353  -0.116106  -0.001008  -0.003639  -0.009432
-0.002704  -0.019143  -0.130513  -0.000953  -0.004498  -0.009491
-0.003491  -0.023657  -0.145096  -0.000685  -0.004969  -0.009645
-0.003978  -0.028523  -0.160100  -0.000424  -0.005108  -0.009818
-0.004270  -0.033529  -0.175484  -0.000232  -0.005084  -0.009886
-0.004469  -0.038533  -0.190961  -0.000057  -0.005036  -0.009766
-0.004554  -0.043549  -0.206207  0.000346  -0.004996  -0.009475
-0.004170  -0.048475  -0.220869  0.000920  -0.004984  -0.009092
-0.003381  -0.053350  -0.234794  0.001292  -0.005055  -0.008725
-0.002484  -0.058349  -0.248388  0.001353  -0.005114  -0.008488
-0.001626  -0.063445  -0.262105  0.001405  -0.004977  -0.008409
-0.000510  -0.068334  -0.276084  0.001764  -0.004581  -0.008445
0.001230  -0.072652  -0.290033  0.002306  -0.004059  -0.008553
0.003557  -0.076309  -0.303767  0.002711  -0.003590  -0.008729
0.006195  -0.079479  -0.317444  0.002892  -0.003302  -0.008974
0.008975  -0.082495  -0.331389  0.002972  -0.003287  -0.009236
0.011875  -0.085733  -0.345780  0.002913  -0.003480  -0.009475
0.014664  -0.089299  -0.360631  0.002611  -0.003582  -0.009697
0.017076  -0.092882  -0.375852  0.002113  -0.003398  -0.009892
0.018929  -0.096115  -0.391191  0.001617  -0.003057  -0.009998
0.020343  -0.098955  -0.406519  0.001224  -0.002686  -0.009978
0.021376  -0.101377  -0.421765  0.000751  -0.002247  -0.009848
0.021816  -0.103335  -0.436960  -0.000034  -0.001781  -0.009625
0.021243  -0.104882  -0.451975  -0.001007  -0.001431  -0.009334
0.019707  -0.106202  -0.466627  -0.001607  -0.001240  -0.009033
0.017942  -0.107394  -0.480785  -0.001476  -0.001102  -0.008828
0.016714  -0.108419  -0.494555  -0.000829  -0.000992  -0.008791
0.016285  -0.109353  -0.508273  -0.000121  -0.001004  -0.008922
0.016468  -0.110370  -0.522158  0.000353  -0.001185  -0.009175
0.016942  -0.111648  -0.536338  0.000516  -0.001474  -0.009472
0.017421  -0.113240  -0.550820  0.000358  -0.001865  -0.009731
0.017589  -0.115314  -0.565692  -0.000270  -0.002333  -0.009872
0.016858  -0.117867  -0.580812  -0.001238  -0.002748  -0.009915
0.015106  -0.120753  -0.595962  -0.001967  -0.003010  -0.009978
0.012849  -0.123759  -0.611094  -0.002088  -0.003162  -0.010143
0.010676  -0.126872  -0.626469  -0.001773  -0.003319  -0.010346
0.008825  -0.130179  -0.642292  -0.001322  -0.003591  -0.010420
0.007385  -0.133854  -0.658296  -0.000859  -0.004008  -0.010264
0.006411  -0.137994  -0.674048  -0.000451  -0.004424  -0.009925
0.005869  -0.142501  -0.689343  -0.000199  -0.004643  -0.009530
0.005543  -0.147087  -0.704133  -0.000167  -0.004651  -0.009151
0.005234  -0.151555  -0.718328  -0.000193  -0.004778  -0.008810
0.005007  -0.156211  -0.731847  -0.000091  -0.005265  -0.008526
0.005021  -0.161425  -0.744960  0.000215  -0.005908  -0.008394
0.005454  -0.167300  -0.758264  0.000698  -0.006233  -0.008516
0.006436  -0.173355  -0.772280  0.001184  -0.005938  -0.008833
0.007827  -0.178953  -0.787027  0.001527  -0.005207  -0.009140
0.009472  -0.183745  -0.802009  0.001811  -0.004371  -0.009275
0.011377  -0.187642  -0.816703  0.002193  -0.003597  -0.009238
0.013670  -0.190721  -0.830944  0.002591  -0.002932  -0.009160
0.016226  -0.193147  -0.844991  0.002753  -0.002414  -0.009169
0.018740  -0.195100  -0.859257  0.002456  -0.002111  -0.009279
0.020689  -0.196870  -0.874019  0.001744  -0.002115  -0.009405
0.021836  -0.198771  -0.889065  0.001058  -0.002364  -0.009479
0.022446  -0.200925  -0.903828  0.000668  -0.002628  -0.009548
0.022762  -0.203267  -0.918239  0.000473  -0.002659  -0.009691
0.022902  -0.205562  -0.932810  0.000199  -0.002368  -0.009917
0.022683  -0.207588  -0.948056  -0.000350  -0.001913  -0.010096
0.021855  -0.209257  -0.963781  -0.001141  -0.001547  -0.010107
0.020235  -0.210685  -0.979443  -0.001792  -0.001416  -0.009949
0.018250  -0.212069  -0.994775  -0.001931  -0.001510  -0.009730
0.016435  -0.213621  -1.009766  -0.001564  -0.001659  -0.009545
0.015201  -0.215242  -1.024546  -0.001070  -0.001770  -0.009422
0.014320  -0.216963  -1.039115  -0.000774  -0.001994  -0.009340
0.013553  -0.218939  -1.053459  -0.000612  -0.002408  -0.009340
0.012838  -0.221328  -1.067494  -0.000585  -0.002835  -0.009497
0.011965  -0.224042  -1.081647  -0.000783  -0.002999  -0.009840
0.010731  -0.226829  -1.096468  -0.001157  -0.002779  -0.010300
0.009079  -0.229365  -1.112239  -0.001483  -0.002366  -0.010717
0.007279  -0.231610  -1.128575  -0.001723  -0.002259  -0.010902
0.005316  -0.234086  -1.144909  -0.002027  -0.002834  -0.010741
0.003075  -0.237487  -1.160842  -0.002356  -0.003930  -0.010312
0.000594  -0.242107  -1.176323  -0.002417  -0.004878  -0.009864
-0.001666  -0.247368  -1.191444  -0.002066  -0.005069  -0.009628
-0.003354  -0.252350  -1.206311  -0.001440  -0.004569  -0.009621
-0.004333  -0.256601  -1.221006  -0.000641  -0.004028  -0.009657
-0.004474  -0.260490  -1.235517  0.000209  -0.004016  -0.009544
-0.003938  -0.264800  -1.249979  0.000781  -0.004607  -0.009219
-0.003224  -0.270080  -1.264407  0.000923  -0.005306  -0.008779
-0.002790  -0.275986  -1.278559  0.000928  -0.005513  -0.008447
-0.002467  -0.281655  -1.292249  0.001087  -0.005050  -0.008415
-0.001974  -0.286434  -1.305864  0.001232  -0.004232  -0.008690
-0.001325  -0.290279  -1.319903  0.001201  -0.003491  -0.009086
-0.000606  -0.293496  -1.334454  0.001236  -0.002984  -0.009419
0.000436  -0.296275  -1.349196  0.001634  -0.002586  -0.009631
0.002096  -0.298629  -1.363878  0.002241  -0.002214  -0.009783
0.004273  -0.300647  -1.378593  0.002568  -0.001977  -0.009909
0.006380  -0.302619  -1.393644  0.002319  -0.001960  -0.010008
0.007844  -0.304772  -1.409197  0.001696  -0.002108  -0.010002
0.008611  -0.307176  -1.424972  0.001213  -0.002254  -0.009837
0.009123  -0.309621  -1.440309  0.000946  -0.002270  -0.009595
0.009461  -0.311910  -1.454866  0.000382  -0.002248  -0.009411
0.009022  -0.314149  -1.468937  -0.000734  -0.002265  -0.009397
0.007376  -0.316418  -1.483142  -0.001954  -0.002198  -0.009563
0.004753  -0.318579  -1.497830  -0.002668  -0.001933  -0.009837
0.001898  -0.320429  -1.513156  -0.002672  -0.001610  -0.010083
-0.000591  -0.322061  -1.528973  -0.002232  -0.001389  -0.010195
-0.002421  -0.323551  -1.544818  -0.001738  -0.001314  -0.010158
-0.003754  -0.325025  -1.560180  -0.001438  -0.001408  -0.010073
-0.004844  -0.326576  -1.575020  -0.001337  -0.001655  -0.010055
-0.005970  -0.328361  -1.589902  -0.001330  -0.002059  -0.010120
-0.007201  -0.330557  -1.605186  -0.001379  -0.002507  -0.010213
-0.008625  -0.333121  -1.620802  -0.001623  -0.002911  -0.010246
-0.010462  -0.336051  -1.636303  -0.002146  -0.003280  -0.010171
-0.012964  -0.339344  -1.651568  -0.002845  -0.003640  -0.009982
-0.016219  -0.343070  -1.666657  -0.003258  -0.004046  -0.009711
-0.019611  -0.347265  -1.681597  -0.002814  -0.004462  -0.009453
-0.022050  -0.351819  -1.696445  -0.001496  -0.004740  -0.009266
-0.022850  -0.356448  -1.711100  -0.000040  -0.004859  -0.009114
-0.022402  -0.361040  -1.725459  0.000676  -0.004934  -0.008953
-0.021785  -0.365642  -1.739422  0.000238  -0.005031  -0.008781
-0.022163  -0.370378  -1.753149  -0.000884  -0.005197  -0.008649
-0.023638  -0.375396  -1.766801  -0.001662  -0.005379  -0.008644
-0.025399  -0.380667  -1.780750  -0.001524  -0.005383  -0.008837
-0.026497  -0.385869  -1.795097  -0.000694  -0.004980  -0.009191
-0.026594  -0.390456  -1.809886  0.000078  -0.004089  -0.009563
-0.026157  -0.393954  -1.824957  0.000301  -0.002972  -0.009826
-0.025773  -0.396341  -1.840028  0.000163  -0.002050  -0.009968
-0.025503  -0.398048  -1.855099  0.000185  -0.001627  -0.010042
-0.024969  -0.399665  -1.870186  0.000585  -0.001662  -0.010085
-0.023881  -0.401494  -1.885478  0.001150  -0.001807  -0.010123
-0.022354  -0.403397  -1.900893  0.001472  -0.001908  -0.010122
-0.020859  -0.405383  -1.916271  0.001326  -0.002100  -0.010050
-0.019854  -0.407623  -1.931431  0.000753  -0.002352  -0.009957
-0.019638  -0.410108  -1.946466  0.000042  -0.002402  -0.009900
-0.020121  -0.412448  -1.961443  -0.000477  -0.002164  -0.009884
-0.021003  -0.414395  -1.976420  -0.000847  -0.001796  -0.009794
-0.022380  -0.415822  -1.991495  -0.001366  -0.001483  -0.009560
-0.024532  -0.416857  -2.006500  -0.001860  -0.001427  -0.009203
-0.027050  -0.417896  -2.021129  -0.001955  -0.001695  -0.008837
-0.029313  -0.419348  -2.035054  -0.001694  -0.002027  -0.008633
-0.031013  -0.421150  -2.048481  -0.001431  -0.002042  -0.008736
-0.032423  -0.422856  -2.061828  -0.001358  -0.001753  -0.009166
-0.033774  -0.424269  -2.075696  -0.001366  -0.001500  -0.009784
-0.035184  -0.425565  -2.090448  -0.001424  -0.001565  -0.010401
-0.036736  -0.427136  -2.106089  -0.001720  -0.001994  -0.010824
-0.038892  -0.429310  -2.122349  -0.002441  -0.002623  -0.010991
-0.042024  -0.432198  -2.138826  -0.003455  -0.003195  -0.010930
-0.046263  -0.435594  -2.155244  -0.004387  -0.003603  -0.010731
-0.051178  -0.439327  -2.171320  -0.004685  -0.004014  -0.010488
-0.055831  -0.443461  -2.186910  -0.004163  -0.004555  -0.010263
-0.059507  -0.448110  -2.202116  -0.002990  -0.005041  -0.010095
-0.061667  -0.453102  -2.217275  -0.001485  -0.005142  -0.009984
-0.062194  -0.458004  -2.232701  -0.000186  -0.004851  -0.009846
-0.061592  -0.462574  -2.248299  0.000417  -0.004445  -0.009582
-0.060793  -0.466771  -2.263574  0.000243  -0.004202  -0.009205
-0.060483  -0.470763  -2.277931  -0.000300  -0.004291  -0.008790
-0.060805  -0.474859  -2.291295  -0.000623  -0.004591  -0.008497
-0.061255  -0.479167  -2.304215  -0.000565  -0.004793  -0.008487
-0.061638  -0.483590  -2.317604  -0.000440  -0.004565  -0.008813
-0.062047  -0.487636  -2.331959  -0.000400  -0.003840  -0.009348
-0.062510  -0.490944  -2.347181  -0.000360  -0.002925  -0.009842
-0.062891  -0.493449  -2.362815  -0.000207  -0.002127  -0.010122
-0.063018  -0.495345  -2.378362  0.000011  -0.001572  -0.010200
-0.062902  -0.496847  -2.393658  0.000232  -0.001334  -0.010180
-0.062526  -0.498316  -2.408736  0.000491  -0.001423  -0.010140
-0.061846  -0.499977  -2.423950  0.000701  -0.001593  -0.010144
-0.061027  -0.501719  -2.439345  0.000641  -0.001678  -0.010173
-0.060501  -0.503457  -2.454809  0.000185  -0.001697  -0.010160
-0.060681  -0.505158  -2.470134  -0.000542  -0.001709  -0.010036
-0.061705  -0.506901  -2.485433  -0.001166  -0.001685  -0.009792
-0.063148  -0.508588  -2.500619  -0.001516  -0.001634  -0.009436
