# x,  y,  x error,  y error,
0.614614  1.906323  0.000000  0.395150
0.710647  1.654455  0.000000  0.257596
0.891792  1.846711  0.000000  0.120457
1.337688  3.895560  0.000000  0.185440
1.337688  3.378099  0.000000  0.349408
1.624336  2.045458  0.000000  0.438099
1.819256  1.176031  0.000000  0.390454
0.212196  2.443638  0.002844  0.000000
0.722151  0.350645  0.000000  0.062517
0.952624  1.852649  0.000000  0.316577
1.316863  2.263242  0.000000  1.003500
1.722052  1.276154  0.000000  0.729072
