# Time (s),  Angular velocity (rad/s)
55.513747  1.165757
55.555456  1.058929
55.597164  0.951860
55.638872  0.850388
55.680581  0.756855
55.722289  0.667103
55.763997  0.570816
55.805705  0.456378
55.847414  0.313356
55.889122  0.137905
55.930830  -0.060907
55.972539  -0.263689
56.014247  -0.453270
56.055955  -0.628424
56.097664  -0.801309
56.139372  -0.979326
56.181080  -1.157987
56.222788  -1.329017
56.264497  -1.487770
56.306205  -1.634367
56.347913  -1.767893
56.389622  -1.884926
56.431330  -1.986193
56.473038  -2.076949
56.514747  -2.165638
56.556455  -2.256140
56.598163  -2.341743
56.639871  -2.408606
56.681580  -2.444000
56.723288  -2.442352
56.764996  -2.400069
56.806705  -2.315362
56.848413  -2.195374
56.890121  -2.061597
56.931830  -1.936798
56.973538  -1.834447
57.015246  -1.757053
57.056954  -1.699923
57.098663  -1.652832
57.140371  -1.600131
57.182079  -1.530592
57.223788  -1.441938
57.265496  -1.338083
57.307204  -1.222808
57.348913  -1.098961
57.390621  -0.970765
57.432329  -0.841304
57.474037  -0.708535
57.515746  -0.569621
57.557454  -0.428523
57.599162  -0.291628
57.640871  -0.158307
57.682579  -0.024056
57.724287  0.112265
57.765996  0.248720
57.807704  0.385008
57.849412  0.525554
57.891120  0.680141
57.932829  0.858275
57.974537  1.061107
58.016245  1.278971
58.057954  1.496265
58.099662  1.699419
58.141370  1.875744
58.183079  2.017711
58.224787  2.126509
58.266495  2.211024
58.308203  2.280520
58.349912  2.340549
58.391620  2.390729
58.433328  2.425872
58.475037  2.441002
58.516745  2.428990
58.558453  2.386847
58.600162  2.315590
58.641870  2.222860
58.683578  2.119944
58.725286  2.018074
58.766995  1.922849
58.808703  1.833047
58.850411  1.744984
58.892120  1.657306
58.933828  1.573107
58.975536  1.492924
59.017245  1.414726
59.058953  1.333542
59.100661  1.244407
59.142369  1.147242
59.184078  1.046087
59.225786  0.943456
59.267494  0.838876
59.309203  0.733200
59.350911  0.630446
59.392619  0.531838
59.434328  0.427105
59.476036  0.294504
59.517744  0.118493
59.559452  -0.095819
59.601161  -0.327755
59.642869  -0.556381
59.684577  -0.767519
59.726286  -0.952141
59.767994  -1.107791
59.809702  -1.243042
59.851411  -1.373894
59.893119  -1.510410
59.934827  -1.651686
59.976535  -1.789209
60.018244  -1.915279
60.059952  -2.028539
60.101660  -2.130611
60.143369  -2.221978
60.185077  -2.300169
60.226785  -2.360674
60.268494  -2.400176
60.310202  -2.417945
60.351910  -2.413983
60.393618  -2.384282
60.435327  -2.320943
60.477035  -2.220977
60.518743  -2.095121
60.560452  -1.962933
60.602160  -1.842116
60.643868  -1.742818
60.685577  -1.666603
60.727285  -1.606252
60.768993  -1.546385
60.810701  -1.472056
60.852410  -1.375225
60.894118  -1.255790
60.935826  -1.121524
60.977535  -0.987432
61.019243  -0.868797
61.060951  -0.771872
61.102660  -0.689743
61.144368  -0.607971
61.186076  -0.514512
61.227784  -0.404935
61.269493  -0.280944
61.311201  -0.143965
61.352909  0.006764
61.394618  0.169199
61.436326  0.334457
61.478034  0.494957
61.519743  0.655484
61.561451  0.830705
61.603159  1.030122
61.644867  1.248832
61.686576  1.471046
61.728284  1.680809
61.769992  1.867046
61.811701  2.021560
61.853409  2.141845
61.895117  2.234446
61.936826  2.309896
61.978534  2.375013
62.020242  2.430027
62.061950  2.470094
62.103659  2.489938
62.145367  2.478926
62.187075  2.429530
62.228784  2.344356
62.270492  2.235789
62.312200  2.119977
62.353909  2.011349
62.395617  1.917903
62.437325  1.839419
62.479033  1.768028
62.520742  1.693838
62.562450  1.614524
62.604158  1.530832
62.645867  1.444439
62.687575  1.356185
62.729283  1.268061
62.770992  1.181999
62.812700  1.098645
62.854408  1.019813
62.896116  0.949149
62.937825  0.886400
62.979533  0.820869
63.021241  0.733053
63.062950  0.602727
63.104658  0.418767
63.146366  0.186736
63.188075  -0.069823
63.229783  -0.322801
63.271491  -0.559020
63.313199  -0.779143
63.354908  -0.980314
63.396616  -1.149469
63.438324  -1.280569
63.480033  -1.388208
63.521741  -1.496111
63.563449  -1.616562
63.605158  -1.744190
63.646866  -1.865256
63.688574  -1.970273
63.730282  -2.061543
63.771991  -2.146701
63.813699  -2.229748
63.855407  -2.305656
63.897116  -2.365018
63.938824  -2.399416
63.980532  -2.404824
64.022241  -2.382337
64.063949  -2.335793
64.105657  -2.268417
64.147365  -2.182339
64.189074  -2.084050
64.230782  -1.978926
64.272490  -1.871042
64.314199  -1.762177
64.355907  -1.656087
64.397615  -1.558770
64.439324  -1.475815
64.481032  -1.408151
64.522740  -1.349948
64.564448  -1.291267
64.606157  -1.223726
64.647865  -1.144118
64.689573  -1.047563
64.731282  -0.930815
64.772990  -0.798295
64.814698  -0.662410
64.856407  -0.533349
64.898115  -0.410415
64.939823  -0.284613
64.981531  -0.147357
65.023240  0.003833
65.064948  0.162142
65.106656  0.317863
65.148365  0.468182
65.190073  0.620034
65.231781  0.782872
65.273490  0.961582
65.315198  1.156739
65.356906  1.362572
65.398614  1.565355
65.440323  1.747264
65.482031  1.895196
65.523739  2.006028
65.565448  2.088548
65.607156  2.161919
65.648864  2.241944
65.690573  2.329936
65.732281  2.411462
65.773989  2.467357
65.815697  2.486838
65.857406  2.468534
65.899114  2.418456
65.940822  2.345366
65.982531  2.256494
66.024239  2.154315
66.065947  2.040774
66.107656  1.920326
66.149364  1.803510
66.191072  1.701541
66.232780  1.615463
66.274489  1.540770
66.316197  1.474190
66.357905  1.417284
66.399614  1.371725
66.441322  1.330086
66.483030  1.281200
66.524739  1.216513
66.566447  1.133629
66.608155  1.034330
66.649863  0.921475
66.691572  0.794798
66.733280  0.652642
66.774988  0.498817
66.816697  0.343246
66.858405  0.192056
66.900113  0.038014
66.941822  -0.134779
66.983530  -0.343641
67.025238  -0.592796
67.066946  -0.865002
67.108655  -1.129025
67.150363  -1.362099
67.192071  -1.557654
67.233780  -1.716836
67.275488  -1.841025
67.317196  -1.937611
67.358905  -2.018097
67.400613  -2.090057
67.442321  -2.156993
67.484029  -2.221257
67.525738  -2.286292
67.567446  -2.356115
67.609154  -2.431062
67.650863  -2.502691
67.692571  -2.555774
67.734279  -2.575246
67.775987  -2.554653
67.817696  -2.491134
67.859404  -2.383337
67.901112  -2.238514
67.942821  -2.080022
67.984529  -1.931981
68.026237  -1.806608
68.067946  -1.701157
68.109654  -1.610328
68.151362  -1.532432
68.193071  -1.465031
68.234779  -1.404063
68.276487  -1.342288
68.318195  -1.274030
68.359904  -1.197196
68.401612  -1.113403
68.443320  -1.020859
68.485029  -0.914082
68.526737  -0.788678
68.568445  -0.647940
68.610154  -0.501110
68.651862  -0.356930
68.693570  -0.218342
68.735278  -0.083135
68.776987  0.051422
68.818695  0.186142
68.860403  0.319369
68.902112  0.449576
68.943820  0.582627
68.985528  0.732604
69.027237  0.913802
69.068945  1.128359
69.110653  1.358586
69.152361  1.578217
69.194070  1.767319
69.235778  1.918047
69.277486  2.035704
69.319195  2.135325
69.360903  2.232504
69.402611  2.330616
69.444320  2.419359
69.486028  2.486287
69.527736  2.528038
69.569444  2.544313
69.611153  2.533781
69.652861  2.492060
69.694569  2.413033
69.736278  2.297395
69.777986  2.159561
69.819694  2.022361
69.861403  1.902370
69.903111  1.803390
69.944819  1.719914
69.986527  1.645983
70.028236  1.575986
70.069944  1.506430
70.111652  1.436078
70.153361  1.367032
70.195069  1.302203
70.236777  1.241365
70.278486  1.179308
70.320194  1.109996
70.361902  1.029499
70.403610  0.933111
70.445319  0.816526
70.487027  0.680717
70.528735  0.531636
70.570444  0.373714
70.612152  0.211059
70.653860  0.049447
70.695569  -0.108219
70.737277  -0.271154
70.778985  -0.461397
70.820693  -0.695367
70.862402  -0.963475
70.904110  -1.231265
70.945818  -1.462761
70.987527  -1.640761
71.029235  -1.769343
71.070943  -1.863927
71.112652  -1.944379
71.154360  -2.028287
71.196068  -2.122759
71.237776  -2.224273
71.279485  -2.323139
71.321193  -2.412322
71.362901  -2.488533
71.404610  -2.549093
71.446318  -2.589079
71.488026  -2.601961
71.529735  -2.582762
71.571443  -2.524990
71.613151  -2.424859
71.654859  -2.289578
71.696568  -2.141808
71.738276  -2.002442
71.779984  -1.880532
71.821693  -1.772671
71.863401  -1.672104
71.905109  -1.577369
71.946818  -1.491017
71.988526  -1.416252
72.030234  -1.349784
72.071942  -1.283987
72.113651  -1.212332
72.155359  -1.133026
72.197067  -1.041597
72.238776  -0.932514
72.280484  -0.807625
72.322192  -0.680144
72.363900  -0.565747
72.405609  -0.467223
72.447317  -0.369487
72.489025  -0.251220
72.530734  -0.102308
72.572442  0.067067
72.614150  0.235164
72.655859  0.387421
72.697567  0.527269
72.739275  0.670974
72.780984  0.833219
72.822692  1.017700
72.864400  1.218377
72.906108  1.427190
72.947817  1.633749
72.989525  1.823365
73.031233  1.978732
73.072942  2.091997
73.114650  2.173122
73.156358  2.244386
73.198067  2.321565
73.239775  2.402900
73.281483  2.474287
73.323191  2.520877
73.364900  2.534465
73.406608  2.511803
73.448316  2.457043
73.490025  2.378221
73.531733  2.280392
73.573441  2.163299
73.615150  2.032335
73.656858  1.902582
73.698566  1.790148
73.740274  1.699320
73.781983  1.624402
73.823691  1.558984
73.865399  1.499020
73.907108  1.442198
73.948816  1.387940
73.990524  1.335645
74.032233  1.279714
74.073941  1.212086
74.115649  1.128920
74.157357  1.031381
74.199066  0.921083
74.240774  0.800162
74.282482  0.672406
74.324191  0.543224
74.365899  0.416882
74.407607  0.293590
74.449316  0.168353
74.491024  0.032773
74.532732  -0.120376
74.574440  -0.293249
74.616149  -0.488317
74.657857  -0.713369
74.699565  -0.970671
74.741274  -1.245522
74.782982  -1.511999
74.824690  -1.749964
74.866399  -1.949321
74.908107  -2.105927
74.949815  -2.219623
74.991523  -2.298474
75.033232  -2.356578
75.074940  -2.406929
75.116648  -2.462023
75.158357  -2.533765
75.200065  -2.624967
75.241773  -2.722409
75.283482  -2.801434
75.325190  -2.838741
75.366898  -2.818999
75.408606  -2.729810
75.450315  -2.568591
75.492023  -2.357779
75.533731  -2.141837
75.575440  -1.959256
75.617148  -1.824559
75.658856  -1.729125
75.700565  -1.657641
75.742273  -1.596931
75.783981  -1.537793
75.825689  -1.473271
75.867398  -1.396096
75.909106  -1.302094
75.950814  -1.193997
75.992523  -1.081421
76.034231  -0.974010
76.075939  -0.878239
76.117648  -0.792803
76.159356  -0.708273
76.201064  -0.614520
76.242772  -0.508330
76.284481  -0.393052
76.326189  -0.270944
76.367897  -0.139568
76.409606  0.002947
76.451314  0.154393
76.493022  0.308238
76.534731  0.457889
76.576439  0.605200
76.618147  0.760666
76.659855  0.933461
76.701564  1.125704
76.743272  1.332556
76.784980  1.543811
76.826689  1.745273
76.868397  1.921677
76.910105  2.063267
76.951814  2.171620
76.993522  2.259435
77.035230  2.343671
77.076938  2.430492
77.118647  2.512442
77.160355  2.578703
77.202063  2.623738
77.243772  2.642861
77.285480  2.630094
77.327188  2.578867
77.368897  2.482817
77.410605  2.346228
77.452313  2.190345
77.494021  2.046987
77.535730  1.935730
77.577438  1.854062
77.619146  1.784901
77.660855  1.712314
77.702563  1.628475
77.744271  1.535952
77.785980  1.443669
77.827688  1.356365
77.869396  1.272703
77.911104  1.186663
77.952813  1.092284
77.994521  0.987397
78.036229  0.876492
78.077938  0.768381
78.119646  0.670327
78.161354  0.584245
78.203063  0.503431
78.244771  0.413464
78.286479  0.297390
78.328187  0.143508
78.369896  -0.045256
78.411604  -0.250932
78.453312  -0.450793
78.495021  -0.637264
78.536729  -0.828323
78.578437  -1.047418
78.620146  -1.294388
78.661854  -1.543178
78.703562  -1.764533
78.745270  -1.942661
78.786979  -2.075270
78.828687  -2.169502
78.870395  -2.241031
78.912104  -2.310527
78.953812  -2.390079
78.995520  -2.479596
79.037229  -2.571653
79.078937  -2.657591
79.120645  -2.728751
79.162353  -2.774548
79.204062  -2.784833
79.245770  -2.747339
79.287478  -2.649763
79.329187  -2.491314
79.370895  -2.295202
79.412603  -2.101106
79.454312  -1.939602
79.496020  -1.819427
79.537728  -1.731435
79.579436  -1.662628
79.621145  -1.602209
79.662853  -1.542866
79.704561  -1.477283
79.746270  -1.399635
79.787978  -1.312899
79.829686  -1.226412
79.871395  -1.146908
79.913103  -1.070075
79.954811  -0.985219
79.996519  -0.886019
80.038228  -0.777252
80.079936  -0.672175
80.121644  -0.581494
80.163353  -0.503183
80.205061  -0.423979
80.246769  -0.326414
80.288478  -0.196225
80.330186  -0.029269
80.371894  0.162709
80.413602  0.356903
80.455311  0.533584
80.497019  0.687739
80.538727  0.827521
80.580436  0.967629
80.622144  1.126274
80.663852  1.317452
80.705561  1.537125
80.747269  1.758243
80.788977  1.949604
80.830685  2.094547
80.872394  2.196202
80.914102  2.270933
80.955810  2.338874
80.997519  2.410943
81.039227  2.481554
81.080935  2.536518
81.122644  2.567513
81.164352  2.575761
81.206060  2.562136
81.247768  2.526170
81.289477  2.464015
81.331185  2.369074
81.372893  2.239942
81.414602  2.090073
81.456310  1.944262
81.498018  1.823582
81.539727  1.733798
81.581435  1.667462
81.623143  1.614619
81.664851  1.568740
81.706560  1.527487
81.748268  1.487069
81.789976  1.434834
81.831685  1.352593
81.873393  1.231107
81.915101  1.081035
81.956810  0.926521
81.998518  0.786535
82.040226  0.664048
82.081934  0.550551
82.123643  0.437501
82.165351  0.321413
82.207059  0.199254
82.248768  0.068444
82.290476  -0.073113
82.332184  -0.229616
82.373893  -0.411733
82.415601  -0.628624
82.457309  -0.871083
82.499017  -1.111717
82.540726  -1.328880
82.582434  -1.516301
82.624142  -1.674156
82.665851  -1.802013
82.707559  -1.903368
82.749267  -1.991593
82.790976  -2.081233
82.832684  -2.182021
82.874392  -2.294760
82.916100  -2.413846
82.957809  -2.531052
82.999517  -2.639282
83.041225  -2.728367
83.082934  -2.787008
83.124642  -2.804623
83.166350  -2.774168
83.208059  -2.691658
83.249767  -2.567498
83.291475  -2.430103
83.333183  -2.326217
83.374892  -2.295458
83.416600  -2.341121
