# Time (s),  Angular velocity (rad/s)
11.136116  0.132094
11.177824  0.151416
11.219533  0.164423
11.261241  0.174086
11.302949  0.181285
11.344658  0.185944
11.386366  0.187032
11.428074  0.184784
11.469783  0.181350
11.511491  0.179409
11.553199  0.180234
11.594907  0.182372
11.636616  0.182606
11.678324  0.179108
11.720032  0.172999
11.761741  0.166741
11.803449  0.161966
11.845157  0.158882
11.886866  0.156708
11.928574  0.154396
11.970282  0.151220
12.011990  0.147077
12.053699  0.142230
12.095407  0.137249
12.137115  0.132916
12.178824  0.129571
12.220532  0.127403
12.262240  0.125178
12.303949  0.120872
12.345657  0.112627
12.387365  0.099765
12.429073  0.083107
12.470782  0.063298
12.512490  0.039393
12.554198  0.010301
12.595907  -0.022612
12.637615  -0.056954
12.679323  -0.089946
12.721032  -0.120398
12.762740  -0.147409
12.804448  -0.170166
12.846156  -0.188681
12.887865  -0.203544
12.929573  -0.215951
12.971281  -0.228237
13.012990  -0.242632
13.054698  -0.260505
13.096406  -0.283912
13.138115  -0.311588
13.179823  -0.339887
13.221531  -0.364757
13.263239  -0.385031
13.304948  -0.399473
13.346656  -0.403755
13.388364  -0.392075
13.430073  -0.363964
13.471781  -0.325897
13.513489  -0.285981
13.555198  -0.249673
13.596906  -0.215319
13.638614  -0.176438
13.680322  -0.123799
13.722031  -0.054118
13.763739  0.023841
13.805447  0.093229
13.847156  0.142117
13.888864  0.171102
13.930572  0.187982
13.972281  0.199371
14.013989  0.207694
14.055697  0.213974
14.097405  0.218485
14.139114  0.221361
14.180822  0.222895
14.222530  0.223824
14.264239  0.225876
14.305947  0.229097
14.347655  0.231814
14.389364  0.232240
14.431072  0.230463
14.472780  0.228262
14.514488  0.227484
14.556197  0.228443
14.597905  0.230204
14.639613  0.231171
14.681322  0.229704
14.723030  0.225620
14.764738  0.220222
14.806447  0.215264
14.848155  0.211211
14.889863  0.206823
14.931571  0.200199
14.973280  0.190522
15.014988  0.178538
15.056696  0.165549
15.098405  0.150859
15.140113  0.131306
15.181821  0.102135
15.223530  0.059499
15.265238  0.004244
15.306946  -0.055353
15.348654  -0.107303
15.390363  -0.144310
15.432071  -0.168249
15.473779  -0.186484
15.515488  -0.205566
15.557196  -0.230536
15.598904  -0.261979
15.640613  -0.295616
15.682321  -0.326224
15.724029  -0.351983
15.765737  -0.373144
15.807446  -0.389342
15.849154  -0.400086
15.890862  -0.407085
15.932571  -0.413393
15.974279  -0.419976
16.015987  -0.426486
16.057696  -0.431721
16.099404  -0.434986
16.141112  -0.436493
16.182820  -0.436760
16.224529  -0.436098
16.266237  -0.435088
16.307945  -0.432305
16.349654  -0.422216
16.391362  -0.393817
16.433070  -0.333326
16.474779  -0.234083
16.516487  -0.109795
16.558195  0.009707
16.599903  0.094576
16.641612  0.136246
16.683320  0.149236
16.725028  0.155095
16.766737  0.165966
16.808445  0.181414
16.850153  0.196565
16.891862  0.210307
16.933570  0.227563
16.975278  0.253063
17.016986  0.289573
17.058695  0.332874
17.100403  0.374681
17.142111  0.407226
17.183820  0.427792
17.225528  0.438475
17.267236  0.443163
17.308945  0.444985
17.350653  0.445504
17.392361  0.444792
17.434069  0.442167
17.475778  0.437964
17.517486  0.433625
17.559194  0.430263
17.600903  0.427164
17.642611  0.422432
17.684319  0.413505
17.726028  0.398040
17.767736  0.375754
17.809444  0.349129
17.851152  0.321939
17.892861  0.295360
17.934569  0.265731
17.976277  0.225109
18.017986  0.164830
18.059694  0.082820
18.101402  -0.012033
18.143111  -0.103836
18.184819  -0.181960
18.226527  -0.247101
18.268235  -0.305231
18.309944  -0.357135
18.351652  -0.398332
18.393360  -0.426640
18.435069  -0.445168
18.476777  -0.459699
18.518485  -0.473650
18.560194  -0.488740
18.601902  -0.505228
18.643610  -0.522989
18.685318  -0.542085
18.727027  -0.562023
18.768735  -0.581229
18.810443  -0.597024
18.852152  -0.607600
18.893860  -0.611244
18.935568  -0.607157
18.977277  -0.595026
19.018985  -0.576410
19.060693  -0.554091
19.102401  -0.530754
19.144110  -0.508938
19.185818  -0.489988
19.227526  -0.472942
19.269235  -0.453755
19.310943  -0.428027
19.352651  -0.390926
19.394360  -0.339514
19.436068  -0.271045
19.477776  -0.182463
19.519484  -0.075827
19.561193  0.036427
19.602901  0.138074
19.644609  0.219955
19.686318  0.287159
19.728026  0.350617
19.769734  0.416531
19.811443  0.484186
19.853151  0.547888
19.894859  0.601647
19.936567  0.643921
19.978276  0.679047
20.019984  0.711708
20.061692  0.743292
20.103401  0.769654
20.145109  0.787551
20.186817  0.796850
20.228526  0.799828
20.270234  0.798125
20.311942  0.792420
20.353650  0.783006
20.395359  0.769675
20.437067  0.751726
20.478775  0.726071
20.520484  0.690037
20.562192  0.643980
20.603900  0.591868
20.645609  0.538592
20.687317  0.485855
20.729025  0.429735
20.770733  0.360631
20.812442  0.265987
20.854150  0.142208
20.895858  0.004295
20.937567  -0.122924
20.979275  -0.222675
21.020983  -0.295656
21.062692  -0.353520
21.104400  -0.409184
21.146108  -0.472652
21.187816  -0.545685
21.229525  -0.620454
21.271233  -0.688584
21.312941  -0.748381
21.354650  -0.802335
21.396358  -0.850099
21.438066  -0.888001
21.479775  -0.914082
21.521483  -0.930986
21.563191  -0.943943
21.604899  -0.956309
21.646608  -0.967372
21.688316  -0.972674
21.730024  -0.968491
21.771733  -0.954379
21.813441  -0.933241
21.855149  -0.908937
21.896858  -0.883399
21.938566  -0.854110
21.980274  -0.814526
22.021982  -0.758841
22.063691  -0.686896
22.105399  -0.605400
22.147107  -0.522683
22.188816  -0.444588
22.230524  -0.370660
22.272232  -0.295610
22.313941  -0.210278
22.355649  -0.103547
22.397357  0.030203
22.439065  0.184259
22.480774  0.340212
22.522482  0.478175
22.564190  0.589029
22.605899  0.679661
22.647607  0.762769
22.689315  0.846592
22.731024  0.931688
22.772732  1.014548
22.814440  1.090038
22.856148  1.151379
22.897857  1.194173
22.939565  1.220117
22.981273  1.234416
23.022982  1.240752
23.064690  1.241588
23.106398  1.238011
23.148107  1.229571
23.189815  1.215421
23.231523  1.194860
23.273231  1.167609
23.314940  1.134654
23.356648  1.097864
23.398356  1.057551
23.440065  1.008704
23.481773  0.942647
23.523481  0.854076
23.565190  0.745054
23.606898  0.622071
23.648606  0.492146
23.690314  0.359116
23.732023  0.223043
23.773731  0.085999
23.815439  -0.044403
23.857148  -0.161662
23.898856  -0.270729
23.940564  -0.385788
23.982273  -0.515294
24.023981  -0.653121
24.065689  -0.787421
24.107397  -0.911229
24.149106  -1.023997
24.190814  -1.127987
24.232522  -1.222397
24.274231  -1.303596
24.315939  -1.367823
24.357647  -1.413463
24.399356  -1.442532
24.441064  -1.457569
24.482772  -1.459196
24.524480  -1.448146
24.566189  -1.428457
24.607897  -1.404060
24.649605  -1.377517
24.691314  -1.347723
24.733022  -1.313138
24.774730  -1.273464
24.816439  -1.226978
24.858147  -1.169444
24.899855  -1.095422
24.941563  -1.000730
24.983272  -0.884786
25.024980  -0.754117
25.066688  -0.618793
25.108397  -0.482703
25.150105  -0.336955
25.191813  -0.172821
25.233522  0.002082
25.275230  0.168291
25.316938  0.314612
25.358646  0.444246
25.400355  0.565307
25.442063  0.683899
25.483771  0.803821
25.525480  0.925490
25.567188  1.048006
25.608896  1.169463
25.650605  1.283463
25.692313  1.381040
25.734021  1.457189
25.775729  1.514066
25.817438  1.556087
25.859146  1.584933
25.900854  1.599106
25.942563  1.596897
25.984271  1.578220
26.025979  1.548633
26.067688  1.517836
26.109396  1.491678
26.151104  1.468081
26.192812  1.439259
26.234521  1.395609
26.276229  1.329192
26.317937  1.239615
26.359646  1.135664
26.401354  1.030054
26.443062  0.927154
26.484771  0.819574
26.526479  0.700482
26.568187  0.572338
26.609895  0.443207
26.651604  0.317102
26.693312  0.189867
26.735020  0.055562
26.776729  -0.086158
26.818437  -0.232908
26.860145  -0.385922
26.901854  -0.548485
26.943562  -0.720753
26.985270  -0.897014
27.026978  -1.069203
27.068687  -1.228187
27.110395  -1.363629
27.152103  -1.469010
27.193812  -1.544440
27.235520  -1.596549
27.277228  -1.634716
27.318937  -1.664028
27.360645  -1.681386
27.402353  -1.682009
27.444061  -1.667210
27.485770  -1.644636
27.527478  -1.622320
27.569186  -1.602593
27.610895  -1.583531
27.652603  -1.561185
27.694311  -1.529747
27.736020  -1.483212
27.777728  -1.415089
27.819436  -1.319310
27.861144  -1.195070
27.902853  -1.050344
27.944561  -0.900748
27.986269  -0.758588
28.027978  -0.622513
28.069686  -0.477629
28.111394  -0.307535
28.153103  -0.110488
28.194811  0.094477
28.236519  0.281998
28.278227  0.441999
28.319936  0.584205
28.361644  0.725920
28.403352  0.876163
28.445061  1.032630
28.486769  1.186278
28.528477  1.331386
28.570186  1.465894
28.611894  1.586441
28.653602  1.686260
28.695310  1.760246
28.737019  1.809875
28.778727  1.841334
28.820435  1.859414
28.862144  1.863657
28.903852  1.850162
28.945560  1.815023
28.987269  1.762744
29.028977  1.704259
29.070685  1.649863
29.112393  1.601133
29.154102  1.549453
29.195810  1.481721
29.237518  1.389692
29.279227  1.274422
29.320935  1.144151
29.362643  1.010282
29.404352  0.883697
29.446060  0.770728
29.487768  0.667369
29.529476  0.561355
29.571185  0.439013
29.612893  0.291668
29.654601  0.121195
29.696310  -0.057696
29.738018  -0.225384
29.779726  -0.372226
29.821435  -0.505349
29.863143  -0.639262
29.904851  -0.782444
29.946559  -0.934425
29.988268  -1.088880
30.029976  -1.241372
30.071684  -1.392002
30.113393  -1.537621
30.155101  -1.666471
30.196809  -1.765003
30.238518  -1.829763
30.280226  -1.868571
30.321934  -1.891210
30.363642  -1.901522
30.405351  -1.898753
30.447059  -1.880915
30.488767  -1.847258
30.530476  -1.796907
30.572184  -1.730757
30.613892  -1.652478
30.655601  -1.566376
30.697309  -1.474765
30.739017  -1.378550
30.780725  -1.279285
30.822434  -1.176652
30.864142  -1.066507
30.905850  -0.946184
30.947559  -0.822886
30.989267  -0.706187
31.030975  -0.596530
31.072684  -0.478717
31.114392  -0.328278
31.156100  -0.131714
31.197808  0.098515
31.239517  0.330783
31.281225  0.537593
31.322933  0.711195
31.364642  0.861981
31.406350  1.005128
31.448058  1.151799
31.489767  1.304347
31.531475  1.455569
31.573183  1.592765
31.614891  1.707902
31.656600  1.802259
31.698308  1.884724
31.740016  1.961594
31.781725  2.028832
31.823433  2.075619
31.865141  2.091238
31.906850  2.070786
31.948558  2.018968
31.990266  1.949949
32.031974  1.877209
32.073683  1.805001
